,city,community,latitude,longitude,type,price,address,beds,sq_feet,baths,cats,dogs,utilities_included
0,Calgary,Brentwood,51.0870659,-114.1281359,Parking Spot,100,,,,,,,
1,Calgary,Banff Trail,51.0811093,-114.1212399,Parking Spot,110,,,,,,,
2,Calgary,Downtown,51.0417422,-114.080513,Parking Spot,100,825-12TH AVE. S.W.,,,,,,
3,Calgary,Silver Springs,51.0983884,-114.183343,Storage,110,,,,,,,
4,Calgary,Bankview,51.0306408,-114.106717,Parking Spot,75,1940 26 Avenue Southwest,,,,,,
5,Calgary,Bearspaw,51.162839,-114.247508,Storage,1,24159 Aspen Drive Calgary Alberta,,,,,,
6,Calgary,Beltline,51.0399095,-114.0831492,Parking Spot,100,927 14 Avenue Southwest,,,,,,
7,Calgary,Highland Park,51.08393283,-114.0661103,Parking Spot,100,,,,,,,
8,Calgary,St Andrews Heights,51.06574,-114.12963,Parking Spot,100,1540 29 St NW,,,,,,
9,Calgary,Country Hills,51.1515284,-114.0127794,Office Space,18,90 Freeport Boulevard Northeast,,,,,,
10,Calgary,Bridlewood,50.8997622,-114.1176386,Apartment,,16969 24 Street Southwest,1,,1,0,0,['']
11,Calgary,Lower Mount Royal,51.0369876,-114.0790484,Parking Spot,250,1720 7 Street Southwest,,,,,,
12,Calgary,Downtown,51.0473651,-114.0862571,Parking Spot,200,683 10 Street Southwest,,,,,,
13,Calgary,Banff Trail,51.0681669,-114.1111317,Parking Spot,225,,,,,,,
14,Calgary,Downtown,51.047001,-114.058828,Parking Spot,250,221 6 Avenue Southeast,,,,,,
15,Calgary,Downtown,51.0470546,-114.0590122,Parking Spot,250,221 6Ave SE,,,,,,
16,Calgary,Crescent Heights,51.0657376,-114.067266,Parking Spot,220,239 15 Avenue Northwest,,,,,,
17,Calgary,Seton,50.8765502,-113.9515687,Parking Spot,150,"19621 40 St SE, Calgary, AB",,,,,,
18,Calgary,Varsity,51.10272299,-114.1621741,Parking Spot,200,5200 53 Ave NW,,,,,,
19,Calgary,Victoria Park,51.039685,-114.062642,Parking Spot,200,101 - 112 14 AVE SE,,,,,,
20,Calgary,Beltline,51.0400384,-114.0707452,Parking Spot,180,340 14 Avenue Southwest,,,,,,
21,Calgary,Forest Heights,51.0403737,-113.9625431,Storage,250,1516 49 Street Southeast,,,,,,
22,Calgary,Downtown,51.0478573,-114.0866807,Parking Spot,250,1111 6 Ave SW,,,,,,
23,Calgary,Tuxedo Park,51.0708182,-114.0662834,Storage,200,240 20 Avenue Northwest,,,,,,
24,Calgary,Ogden,50.9875263,-114.0076392,Storage,275,7215 21A Street Southeast,,,,,,
25,Calgary,Victoria Park,51.0396851,-114.0626432,Parking Spot,195,112 14 AVE SE,,,,,,
26,Calgary,Downtown,51.047062,-114.0590197,Parking Spot,300,221 6 Ave SE,,,,,,
27,Calgary,Glenbrook,51.0251195,-114.1499865,Storage,350,,,,,,,
28,Calgary,Forest Lawn,51.035303,-113.9696824,Storage,429,2028 44 Street Southeast,,,,,,
29,Calgary,Renfrew,51.0652904,-114.0349566,Storage,400,1159 15 Avenue Northeast,,,,,,
30,Calgary,Dover,51.025629,-113.980961,Storage,350,67 Dovercliffe Way Southeast,,,,,,
